Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL
112.000000	4366.153846	4413.846154	4405.641026	3723.589744	4385.641026	4614.871795	4630.769231	4522.564103	4023.589744	4103.076923	4516.923077	4436.410256	4250.256410	3954.358974	1741.000000	1676.000000	46.160000	0.000000	0.000000	0.000000	0.000000
113.000000	4362.564103	4406.153846	4405.641026	3722.564103	4386.153846	4614.871795	4630.769231	4521.025641	4024.615385	4103.076923	4508.205128	4433.846154	4250.256410	3954.871795	1742.000000	1676.000000	46.175000	0.000000	0.000000	0.000000	0.000000
114.000000	4352.307692	4398.461538	4409.743590	3717.948718	4386.153846	4614.871795	4630.769231	4524.102564	4024.615385	4103.076923	4507.692308	4438.974359	4250.256410	3956.923077	1742.000000	1675.000000	46.175000	0.000000	0.000000	0.000000	0.000000
115.000000	4350.256410	4402.051282	4412.307692	3714.871795	4385.641026	4614.871795	4630.769231	4526.153846	4025.128205	4103.076923	4511.282051	4443.076923	4250.256410	3951.794872	1743.000000	1674.000000	46.191000	0.000000	0.000000	0.000000	0.000000
116.000000	4354.871795	4409.743590	4410.256410	3715.897436	4385.641026	4614.871795	4630.769231	4524.102564	4025.641026	4103.076923	4508.717949	4441.538462	4250.256410	3951.282051	1743.000000	1674.000000	46.191000	0.000000	0.000000	0.000000	0.000000
117.000000	4362.564103	4414.358974	4402.051282	3718.974359	4385.641026	4614.871795	4630.769231	4522.051282	4024.102564	4103.076923	4508.717949	4437.435897	4250.256410	3957.435897	1743.000000	1673.000000	46.207000	0.000000	0.000000	0.000000	0.000000
118.000000	4364.102564	4410.769231	4400.512821	3718.974359	4385.641026	4614.871795	4630.769231	4522.051282	4024.102564	4103.076923	4517.435897	4436.923077	4250.256410	3951.794872	1741.000000	1674.000000	46.207000	0.000000	0.000000	0.000000	0.000000
119.000000	4355.384615	4404.615385	4408.205128	3715.897436	4385.641026	4614.871795	4631.282051	4524.102564	4026.153846	4103.076923	4521.538462	4442.051282	4250.256410	3944.615385	1743.000000	1674.000000	46.222000	0.000000	0.000000	0.000000	0.000000
120.000000	4348.717949	4398.461538	4411.282051	3713.846154	4385.641026	4614.871795	4631.794872	4524.615385	4023.589744	4103.076923	4518.974359	4445.641026	4250.256410	3948.717949	1742.000000	1674.000000	46.222000	0.000000	0.000000	0.000000	0.000000
121.000000	4354.871795	4403.076923	4407.692308	3714.871795	4385.641026	4614.871795	4631.794872	4525.128205	4023.076923	4103.076923	4519.487179	4443.076923	4250.256410	3956.923077	1742.000000	1677.000000	46.238000	0.000000	0.000000	0.000000	0.000000
122.000000	4363.076923	4412.820513	4405.641026	3718.461538	4385.641026	4614.871795	4630.769231	4525.641026	4023.076923	4103.076923	4518.461538	4438.461538	4250.256410	3960.512821	1741.000000	1676.000000	46.238000	0.000000	0.000000	0.000000	0.000000
123.000000	4363.076923	4410.769231	4405.641026	3718.461538	4385.641026	4614.871795	4630.769231	4521.025641	4023.076923	4103.076923	4511.794872	4436.410256	4250.256410	3956.923077	1741.000000	1677.000000	46.254000	0.000000	0.000000	0.000000	0.000000
124.000000	4358.461538	4401.025641	4406.666667	3715.384615	4385.641026	4614.871795	4632.820513	4518.461538	4024.102564	4103.076923	4506.666667	4440.000000	4250.256410	3950.769231	1742.000000	1675.000000	46.254000	0.000000	0.000000	0.000000	0.000000
125.000000	4353.333333	4396.410256	4411.794872	3712.820513	4385.641026	4614.871795	4632.820513	4525.641026	4025.128205	4103.076923	4511.282051	4445.641026	4250.256410	3947.179487	1741.000000	1676.000000	46.269000	0.000000	0.000000	0.000000	0.000000
126.000000	4353.333333	4403.589744	4412.820513	3713.333333	4385.641026	4614.871795	4631.282051	4527.692308	4023.076923	4103.076923	4517.435897	4445.128205	4250.256410	3950.256410	1741.000000	1674.000000	46.269000	0.000000	0.000000	0.000000	0.000000
127.000000	4361.025641	4412.307692	4404.615385	3716.923077	4385.641026	4614.871795	4631.282051	4521.538462	4024.102564	4103.076923	4514.358974	4439.487179	4250.256410	3957.435897	1740.000000	1675.000000	46.285000	0.000000	0.000000	0.000000	0.000000
