['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
8.0 , 4488.20512821 , 4386.15384615 , 4421.53846154 , 3677.43589744 , 4384.1025641 , 4521.02564103 , 4503.07692308 , 4579.48717949 , 3931.28205128 , 4104.1025641 , 4258.46153846 , 4310.25641026 , 3995.8974359 , 4011.28205128 , 1726.0 , 1678.0 , 1.547 , 0.0 , 0.0 , 0.0 , 0.0 , 

9.0 , 4483.58974359 , 4386.15384615 , 4417.94871795 , 3673.33333333 , 4384.1025641 , 4512.82051282 , 4497.94871795 , 4574.35897436 , 3927.17948718 , 4104.1025641 , 4258.46153846 , 4315.38461538 , 3992.30769231 , 4007.69230769 , 1726.0 , 1675.0 , 1.563 , 0.0 , 0.0 , 0.0 , 0.0 , 

10.0 , 4484.1025641 , 4388.20512821 , 4421.02564103 , 3672.30769231 , 4384.1025641 , 4516.92307692 , 4503.58974359 , 4577.94871795 , 3929.23076923 , 4104.61538462 , 4260.51282051 , 4316.92307692 , 4000.0 , 4006.15384615 , 1725.0 , 1677.0 , 1.563 , 0.0 , 0.0 , 0.0 , 0.0 , 

11.0 , 4488.71794872 , 4387.69230769 , 4420.0 , 3675.38461538 , 4383.58974359 , 4521.02564103 , 4506.66666667 , 4585.12820513 , 3933.84615385 , 4104.61538462 , 4262.56410256 , 4316.41025641 , 4008.20512821 , 4009.74358974 , 1726.0 , 1677.0 , 1.578 , 0.0 , 0.0 , 0.0 , 0.0 , 

12.0 , 4488.71794872 , 4386.15384615 , 4409.74358974 , 3670.25641026 , 4382.56410256 , 4514.35897436 , 4494.87179487 , 4578.97435897 , 3924.1025641 , 4104.61538462 , 4258.46153846 , 4317.43589744 , 3992.82051282 , 4009.23076923 , 1725.0 , 1678.0 , 1.578 , 0.0 , 0.0 , 0.0 , 0.0 , 

13.0 , 4484.1025641 , 4386.66666667 , 4408.20512821 , 3666.66666667 , 4383.07692308 , 4512.30769231 , 4492.82051282 , 4573.84615385 , 3918.46153846 , 4104.61538462 , 4254.87179487 , 4315.8974359 , 3981.53846154 , 4004.61538462 , 1726.0 , 1677.0 , 1.594 , 0.0 , 0.0 , 0.0 , 0.0 , 

14.0 , 4484.61538462 , 4386.66666667 , 4413.33333333 , 3671.79487179 , 4383.07692308 , 4515.38461538 , 4500.51282051 , 4582.05128205 , 3928.20512821 , 4104.61538462 , 4258.97435897 , 4314.87179487 , 3992.82051282 , 4005.64102564 , 1724.0 , 1678.0 , 1.594 , 0.0 , 0.0 , 0.0 , 0.0 , 

15.0 , 4477.43589744 , 4386.66666667 , 4414.87179487 , 3673.33333333 , 4383.07692308 , 4517.43589744 , 4500.0 , 4587.69230769 , 3933.33333333 , 4104.61538462 , 4261.02564103 , 4316.41025641 , 4002.56410256 , 4007.17948718 , 1725.0 , 1676.0 , 1.609 , 0.0 , 0.0 , 0.0 , 0.0 , 

16.0 , 4467.69230769 , 4386.66666667 , 4417.43589744 , 3671.28205128 , 4383.07692308 , 4520.0 , 4497.43589744 , 4583.58974359 , 3931.28205128 , 4104.61538462 , 4257.94871795 , 4316.92307692 , 4003.07692308 , 4002.56410256 , 1725.0 , 1676.0 , 1.609 , 0.0 , 0.0 , 0.0 , 0.0 , 

17.0 , 4479.48717949 , 4386.66666667 , 4421.02564103 , 3673.84615385 , 4382.56410256 , 4521.02564103 , 4500.0 , 4582.05128205 , 3933.33333333 , 4104.61538462 , 4257.94871795 , 4317.94871795 , 4005.12820513 , 4001.53846154 , 1726.0 , 1676.0 , 1.625 , 0.0 , 0.0 , 0.0 , 0.0 , 

